# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 96, mean observations per image: 196.73958333333334
1 0.0 -1.0 -0.0 -0.0 -1.009294867515564 1.3348933458328247 0.020836958661675453 1 0001_00_rgb.jpg

2 0.0 -0.9659258252833217 -0.0 0.2588190488560179 -0.8636565234104503 1.3348933458328247 0.5226927830446338 1 0001_01_rgb.jpg

3 5.777789716497961e-34 -0.8660254057273917 -0.0 0.4999999966347066 -0.4866021116435177 1.3348933458328247 0.8844934826331058 1 0001_02_rgb.jpg

4 0.0 -0.7071067811865476 -0.0 0.7071067811865475 0.020836958661675228 1.3348933458328247 1.009294867515564 1 0001_03_rgb.jpg

5 0.0 -0.4999999966347066 -0.0 0.8660254057273917 0.5226927830446338 1.3348933458328247 0.8636565234104505 1 0001_04_rgb.jpg

6 0.0 -0.2588190488560179 -0.0 0.9659258252833217 0.8844934826331055 1.3348933458328247 0.4866021116435177 1 0001_05_rgb.jpg

7 0.0 -0.0 -0.0 1.0 1.009294867515564 1.3348933458328247 -0.02083695866167533 1 0001_06_rgb.jpg

8 0.0 -0.2588190488560179 -0.0 -0.9659258252833217 0.8636565234104503 1.3348933458328247 -0.5226927830446338 1 0001_07_rgb.jpg

9 0.0 0.4999999966347066 -0.0 0.8660254057273917 0.4866021116435177 1.3348933458328247 -0.8844934826331058 1 0001_08_rgb.jpg

10 0.0 0.7071067811865475 -0.0 0.7071067811865476 -0.020836958661675228 1.3348933458328247 -1.009294867515564 1 0001_09_rgb.jpg

11 5.777789716497961e-34 -0.8660254057273917 -0.0 -0.4999999966347066 -0.5226927830446338 1.3348933458328247 -0.8636565234104505 1 0001_10_rgb.jpg

12 0.0 -0.9659258252833217 -0.0 -0.2588190488560179 -0.8844934826331055 1.3348933458328247 -0.4866021116435177 1 0001_11_rgb.jpg

13 0.0 -1.0 -0.0 -0.0 -1.486733078956604 1.2204867601394653 -2.480799674987793 1 0002_00_rgb.jpg

14 0.0 -0.9659258252833217 -0.0 0.2588190488560179 -2.527948497466057 1.2204867601394653 -1.4050690000284425 1 0002_01_rgb.jpg

15 5.777789716497961e-34 -0.8660254057273917 -0.0 0.4999999966347066 -2.891802119011391 1.2204867601394653 0.04714875568931287 1 0002_02_rgb.jpg

16 0.0 -0.7071067811865476 -0.0 0.7071067811865475 -2.4807996749877934 1.2204867601394653 1.4867330789566036 1 0002_03_rgb.jpg

17 0.0 -0.4999999966347066 -0.0 0.8660254057273917 -1.405069000028442 1.2204867601394653 2.5279484974660575 1 0002_04_rgb.jpg

18 0.0 -0.2588190488560179 -0.0 0.9659258252833217 0.047148755689312545 1.2204867601394653 2.8918021190113916 1 0002_05_rgb.jpg

19 0.0 -0.0 -0.0 1.0 1.4867330789566038 1.2204867601394653 2.480799674987793 1 0002_06_rgb.jpg

20 0.0 -0.2588190488560179 -0.0 -0.9659258252833217 2.527948497466057 1.2204867601394653 1.4050690000284425 1 0002_07_rgb.jpg

21 0.0 0.4999999966347066 -0.0 0.8660254057273917 2.891802119011391 1.2204867601394653 -0.04714875568931287 1 0002_08_rgb.jpg

22 0.0 0.7071067811865475 -0.0 0.7071067811865476 2.4807996749877934 1.2204867601394653 -1.4867330789566036 1 0002_09_rgb.jpg

23 5.777789716497961e-34 -0.8660254057273917 -0.0 -0.4999999966347066 1.405069000028442 1.2204867601394653 -2.5279484974660575 1 0002_10_rgb.jpg

24 0.0 -0.9659258252833217 -0.0 -0.2588190488560179 -0.047148755689312545 1.2204867601394653 -2.8918021190113916 1 0002_11_rgb.jpg

25 0.0 -1.0 -0.0 -0.0 -1.4468138217926025 1.208263874053955 -1.0077961683273315 1 0003_00_rgb.jpg

26 0.0 -0.9659258252833217 -0.0 0.2588190488560179 -1.7568756331929958 1.208263874053955 -0.1493701610683763 1 0003_01_rgb.jpg

27 5.777789716497961e-34 -0.8660254057273917 -0.0 0.4999999966347066 -1.5961840218126035 1.208263874053955 0.7490794377334257 1 0003_02_rgb.jpg

28 0.0 -0.7071067811865476 -0.0 0.7071067811865475 -1.0077961683273318 1.208263874053955 1.4468138217926023 1 0003_03_rgb.jpg

29 0.0 -0.4999999966347066 -0.0 0.8660254057273917 -0.14937016106837606 1.208263874053955 1.7568756331929964 1 0003_04_rgb.jpg

30 0.0 -0.2588190488560179 -0.0 0.9659258252833217 0.7490794377334253 1.208263874053955 1.596184021812604 1 0003_05_rgb.jpg

31 0.0 -0.0 -0.0 1.0 1.4468138217926023 1.208263874053955 1.0077961683273318 1 0003_06_rgb.jpg

32 0.0 -0.2588190488560179 -0.0 -0.9659258252833217 1.7568756331929958 1.208263874053955 0.1493701610683763 1 0003_07_rgb.jpg

33 0.0 0.4999999966347066 -0.0 0.8660254057273917 1.5961840218126035 1.208263874053955 -0.7490794377334257 1 0003_08_rgb.jpg

34 0.0 0.7071067811865475 -0.0 0.7071067811865476 1.0077961683273318 1.208263874053955 -1.4468138217926023 1 0003_09_rgb.jpg

35 5.777789716497961e-34 -0.8660254057273917 -0.0 -0.4999999966347066 0.14937016106837606 1.208263874053955 -1.7568756331929964 1 0003_10_rgb.jpg

36 0.0 -0.9659258252833217 -0.0 -0.2588190488560179 -0.7490794377334253 1.208263874053955 -1.596184021812604 1 0003_11_rgb.jpg

37 0.0 -1.0 -0.0 -0.0 -1.484837532043457 1.6066350936889648 -0.5227937698364258 1 0004_00_rgb.jpg

38 0.0 -0.9659258252833217 -0.0 0.2588190488560179 -1.5473039267377333 1.6066350936889648 0.28966609632775014 1 0004_01_rgb.jpg

39 5.777789716497961e-34 -0.8660254057273917 -0.0 0.4999999966347066 -1.195171475691019 1.6066350936889648 1.024510142826472 1 0004_02_rgb.jpg

40 0.0 -0.7071067811865476 -0.0 0.7071067811865475 -0.5227937698364261 1.6066350936889648 1.4848375320434568 1 0004_03_rgb.jpg

41 0.0 -0.4999999966347066 -0.0 0.8660254057273917 0.28966609632775037 1.6066350936889648 1.5473039267377338 1 0004_04_rgb.jpg

42 0.0 -0.2588190488560179 -0.0 0.9659258252833217 1.0245101428264718 1.6066350936889648 1.1951714756910194 1 0004_05_rgb.jpg

43 0.0 -0.0 -0.0 1.0 1.484837532043457 1.6066350936889648 0.522793769836426 1 0004_06_rgb.jpg

44 0.0 -0.2588190488560179 -0.0 -0.9659258252833217 1.5473039267377333 1.6066350936889648 -0.28966609632775014 1 0004_07_rgb.jpg

45 0.0 0.4999999966347066 -0.0 0.8660254057273917 1.195171475691019 1.6066350936889648 -1.024510142826472 1 0004_08_rgb.jpg

46 0.0 0.7071067811865475 -0.0 0.7071067811865476 0.5227937698364261 1.6066350936889648 -1.4848375320434568 1 0004_09_rgb.jpg

47 5.777789716497961e-34 -0.8660254057273917 -0.0 -0.4999999966347066 -0.28966609632775037 1.6066350936889648 -1.5473039267377338 1 0004_10_rgb.jpg

48 0.0 -0.9659258252833217 -0.0 -0.2588190488560179 -1.0245101428264718 1.6066350936889648 -1.1951714756910194 1 0004_11_rgb.jpg

49 0.0 -1.0 -0.0 -0.0 -1.483917474746704 1.6563777923583984 -0.011325777508318424 1 0005_00_rgb.jpg

50 0.0 -0.9659258252833217 -0.0 0.2588190488560179 -1.2907731306896442 1.6563777923583984 0.7321503462207873 1 0005_01_rgb.jpg

51 5.777789716497961e-34 -0.8660254057273917 -0.0 0.4999999966347066 -0.7517671684764593 1.6563777923583984 1.2794473528764096 1 0005_02_rgb.jpg

52 0.0 -0.7071067811865476 -0.0 0.7071067811865475 -0.011325777508318754 1.6563777923583984 1.483917474746704 1 0005_03_rgb.jpg

53 0.0 -0.4999999966347066 -0.0 0.8660254057273917 0.7321503462207872 1.6563777923583984 1.2907731306896446 1 0005_04_rgb.jpg

54 0.0 -0.2588190488560179 -0.0 0.9659258252833217 1.2794473528764092 1.6563777923583984 0.7517671684764593 1 0005_05_rgb.jpg

55 0.0 -0.0 -0.0 1.0 1.483917474746704 1.6563777923583984 0.011325777508318606 1 0005_06_rgb.jpg

56 0.0 -0.2588190488560179 -0.0 -0.9659258252833217 1.2907731306896442 1.6563777923583984 -0.7321503462207873 1 0005_07_rgb.jpg

57 0.0 0.4999999966347066 -0.0 0.8660254057273917 0.7517671684764593 1.6563777923583984 -1.2794473528764096 1 0005_08_rgb.jpg

58 0.0 0.7071067811865475 -0.0 0.7071067811865476 0.011325777508318754 1.6563777923583984 -1.483917474746704 1 0005_09_rgb.jpg

59 5.777789716497961e-34 -0.8660254057273917 -0.0 -0.4999999966347066 -0.7321503462207872 1.6563777923583984 -1.2907731306896446 1 0005_10_rgb.jpg

60 0.0 -0.9659258252833217 -0.0 -0.2588190488560179 -1.2794473528764092 1.6563777923583984 -0.7517671684764593 1 0005_11_rgb.jpg

61 0.0 -1.0 -0.0 -0.0 -1.9662638902664185 1.5033178329467773 -2.5728342533111572 1 0006_00_rgb.jpg

